rel.group,area,year,season,program,length,lendist
116,1,2007,2,JPTP,138,0
116,1,2007,2,JPTP,140,0
116,1,2007,2,JPTP,142,0
116,1,2007,2,JPTP,144,0
116,1,2007,2,JPTP,146,0
116,1,2007,2,JPTP,148,0
116,1,2007,2,JPTP,150,0
116,1,2007,2,JPTP,152,0
116,1,2007,2,JPTP,154,0
116,1,2007,2,JPTP,156,0
116,1,2007,2,JPTP,158,0
116,1,2007,2,JPTP,160,0
116,1,2007,2,JPTP,162,0
116,1,2007,2,JPTP,164,0
116,1,2007,2,JPTP,166,0
116,1,2007,2,JPTP,168,0
116,1,2007,2,JPTP,170,0
116,1,2007,2,JPTP,172,0
116,1,2007,2,JPTP,174,0
116,1,2007,2,JPTP,176,0
116,1,2007,2,JPTP,178,0
116,1,2007,2,JPTP,180,0
116,1,2007,2,JPTP,182,0
116,1,2007,2,JPTP,184,0
116,1,2007,2,JPTP,186,0
116,1,2007,2,JPTP,188,0
116,1,2007,2,JPTP,190,0
116,1,2007,2,JPTP,192,0
116,1,2007,2,JPTP,194,0
116,1,2007,2,JPTP,196,0
116,1,2007,2,JPTP,198,0
117,1,2007,3,JPTP,10,0
117,1,2007,3,JPTP,12,0
117,1,2007,3,JPTP,14,0
117,1,2007,3,JPTP,16,0
117,1,2007,3,JPTP,18,0
117,1,2007,3,JPTP,20,0
117,1,2007,3,JPTP,22,0
117,1,2007,3,JPTP,24,0.5177491274561
117,1,2007,3,JPTP,26,3.6242438921927
117,1,2007,3,JPTP,28,5.177491274561
117,1,2007,3,JPTP,30,11.9082299314903
117,1,2007,3,JPTP,32,34.6891915395587
117,1,2007,3,JPTP,34,45.0441740886807
117,1,2007,3,JPTP,36,92.677093814642
117,1,2007,3,JPTP,38,80.7688638831517
117,1,2007,3,JPTP,40,28.4762020100855
117,1,2007,3,JPTP,42,8.80173516675371
117,1,2007,3,JPTP,44,5.69524040201711
117,1,2007,3,JPTP,46,6.21298952947321
117,1,2007,3,JPTP,48,8.28398603929761
117,1,2007,3,JPTP,50,18.1212194609635
117,1,2007,3,JPTP,52,16.0502229511391
117,1,2007,3,JPTP,54,6.21298952947321
117,1,2007,3,JPTP,56,4.6597421471049
117,1,2007,3,JPTP,58,2.0709965098244
117,1,2007,3,JPTP,60,1.5532473823683
117,1,2007,3,JPTP,62,4.1419930196488
117,1,2007,3,JPTP,64,3.6242438921927
117,1,2007,3,JPTP,66,1
117,1,2007,3,JPTP,68,0.5177491274561
117,1,2007,3,JPTP,70,0
117,1,2007,3,JPTP,72,0.5177491274561
117,1,2007,3,JPTP,74,0
117,1,2007,3,JPTP,76,1
117,1,2007,3,JPTP,78,0
117,1,2007,3,JPTP,80,0
117,1,2007,3,JPTP,82,0
117,1,2007,3,JPTP,84,0
117,1,2007,3,JPTP,86,0
117,1,2007,3,JPTP,88,0
117,1,2007,3,JPTP,90,0
117,1,2007,3,JPTP,92,0
117,1,2007,3,JPTP,94,0
