year,season,area,age,n
1962,1,1,23,2658560
1962,1,1,24,121953
1962,1,1,25,171691
1962,1,1,26,273736
1962,1,1,27,1653990
1962,1,1,28,131331
1962,1,1,29,225906
1962,1,1,30,441657
1962,1,1,31,1268860
1962,1,1,32,185067
1962,1,1,33,450355
1962,1,1,34,106229
1962,1,1,35,197966
1962,1,1,36,55597.1
1962,1,1,37,233676
1962,1,1,38,196784
1962,1,1,39,190862
1962,1,1,40,1602640
1963,1,1,1,2759600
1963,1,1,2,12892000
1963,1,1,3,5910720
1963,1,1,4,611884
1963,1,1,5,449479
1963,1,1,6,2241530
1963,1,1,7,5943820
1963,1,1,8,534681
1963,1,1,9,287062
1963,1,1,10,539608
1963,1,1,11,4769460
1963,1,1,12,319918
1963,1,1,13,160265
1963,1,1,14,142040
1963,1,1,15,3345760
1963,1,1,16,140870
1963,1,1,17,88691.5
1963,1,1,18,110814
1963,1,1,19,4243700
1963,1,1,20,120248
1963,1,1,21,112949
1963,1,1,22,157232
1963,1,1,23,4511690
1963,1,1,24,130138
1963,1,1,25,165540
1963,1,1,26,130511
1963,1,1,27,1798550
1963,1,1,28,77541.1
1963,1,1,29,115762
1963,1,1,30,182739
1963,1,1,31,1094470
1963,1,1,32,83007.9
1963,1,1,33,149250
1963,1,1,34,291676
1963,1,1,35,825983
1963,1,1,36,116536
1963,1,1,37,292943
1963,1,1,38,69291.7
1963,1,1,39,127311
1963,1,1,40,1442340
1964,1,1,1,601216
1964,1,1,2,30213800
1964,1,1,3,7102780
1964,1,1,4,842588
1964,1,1,5,835472
1964,1,1,6,3908660
1964,1,1,7,4667290
1964,1,1,8,485845
1964,1,1,9,300284
1964,1,1,10,1350210
1964,1,1,11,4910800
1964,1,1,12,454445
1964,1,1,13,200305
1964,1,1,14,352368
1964,1,1,15,3696080
1964,1,1,16,250762
1964,1,1,17,112110
1964,1,1,18,92609.4
1964,1,1,19,2446140
1964,1,1,20,101615
1964,1,1,21,61552.3
1964,1,1,22,72787.6
1964,1,1,23,2977380
1964,1,1,24,80882.4
1964,1,1,25,77625.3
1964,1,1,26,104616
1964,1,1,27,3073320
1964,1,1,28,84003
1964,1,1,29,111978
1964,1,1,30,86844.4
1964,1,1,31,1198300
1964,1,1,32,49359.8
1964,1,1,33,76927.8
1964,1,1,34,120830
1964,1,1,35,717316
1964,1,1,36,52571.2
1964,1,1,37,97698.1
1964,1,1,38,191191
1964,1,1,39,534733
1964,1,1,40,1303350
1965,1,1,1,545233
1965,1,1,2,14502700
1965,1,1,3,1899760
1965,1,1,4,268515
1965,1,1,5,421514
1965,1,1,6,9244620
1965,1,1,7,5534890
1965,1,1,8,611775
1965,1,1,9,586419
1965,1,1,10,2414540
1965,1,1,11,3787320
1965,1,1,12,404243
1965,1,1,13,208947
1965,1,1,14,908669
1965,1,1,15,3769170
1965,1,1,16,359635
1965,1,1,17,139197
1965,1,1,18,234787
1965,1,1,19,2692540
1965,1,1,20,185782
1965,1,1,21,76889.2
1965,1,1,22,60422.4
1965,1,1,23,1710340
1965,1,1,24,70858.3
1965,1,1,25,41659.8
1965,1,1,26,47373.6
1965,1,1,27,2020890
1965,1,1,28,53449.1
1965,1,1,29,51968.2
1965,1,1,30,68527.9
1965,1,1,31,2041310
1965,1,1,32,53675.8
1965,1,1,33,74004.3
1965,1,1,34,56816.8
1965,1,1,35,782923
1965,1,1,36,31172.7
1965,1,1,37,50163.7
1965,1,1,38,78624.2
1965,1,1,39,462915
1965,1,1,40,1383620
1966,1,1,1,202405
1966,1,1,2,26283800
1966,1,1,3,2159440
1966,1,1,4,386220
1966,1,1,5,934548
1966,1,1,6,4452800
1966,1,1,7,1507310
1966,1,1,8,180972
1966,1,1,9,310064
1966,1,1,10,5880270
1966,1,1,11,4524530
1966,1,1,12,493378
1966,1,1,13,410987
1966,1,1,14,1669870
1966,1,1,15,2906090
1966,1,1,16,318558
1966,1,1,17,144518
1966,1,1,18,620320
1966,1,1,19,2742440
1966,1,1,20,268970
1966,1,1,21,95294.3
1966,1,1,22,156106
1966,1,1,23,1884960
1966,1,1,24,132323
1966,1,1,25,51835.6
1966,1,1,26,39272
1966,1,1,27,1162190
1966,1,1,28,48260
1966,1,1,29,27711.9
1966,1,1,30,30633.2
1966,1,1,31,1343500
1966,1,1,32,34925
1966,1,1,33,34223.2
1966,1,1,34,44462.7
1966,1,1,35,1335330
1966,1,1,36,34131.1
1966,1,1,37,48234.8
1966,1,1,38,36804
1966,1,1,39,505842
1966,1,1,40,1273320
1967,1,1,1,354495
1967,1,1,2,16948400
1967,1,1,3,999685
1967,1,1,4,231155
1967,1,1,5,745535
1967,1,1,6,7899940
1967,1,1,7,1749500
1967,1,1,8,249555
1967,1,1,9,697261
1967,1,1,10,2808080
1967,1,1,11,1228890
1967,1,1,12,138238
1967,1,1,13,215800
1967,1,1,14,4096590
1967,1,1,15,3455340
1967,1,1,16,379583
1967,1,1,17,280726
1967,1,1,18,1153390
1967,1,1,19,2104760
1967,1,1,20,236614
1967,1,1,21,97889.8
1967,1,1,22,417365
1967,1,1,23,1911110
1967,1,1,24,191979
1967,1,1,25,63898
1967,1,1,26,102407
1967,1,1,27,1277020
1967,1,1,28,91103.2
1967,1,1,29,34272
1967,1,1,30,25261.9
1967,1,1,31,770287
1967,1,1,32,32133
1967,1,1,33,18105.8
1967,1,1,34,19602.7
1967,1,1,35,876066
1967,1,1,36,22519.3
1967,1,1,37,22168
1967,1,1,38,28507.4
1967,1,1,39,860203
1967,1,1,40,1200140
1968,1,1,1,205465
1968,1,1,2,43575800
1968,1,1,3,2117740
1968,1,1,4,618120
1968,1,1,5,2229680
1968,1,1,6,4904300
1968,1,1,7,824187
1968,1,1,8,148245
1968,1,1,9,558059
1968,1,1,10,4882600
1968,1,1,11,1436940
1968,1,1,12,185357
1968,1,1,13,486770
1968,1,1,14,1958980
1968,1,1,15,943702
1968,1,1,16,103796
1968,1,1,17,146686
1968,1,1,18,2860490
1968,1,1,19,2511140
1968,1,1,20,279490
1968,1,1,21,188762
1968,1,1,22,785991
1968,1,1,23,1470240
1968,1,1,24,169002
1968,1,1,25,65405.2
1968,1,1,26,277382
1968,1,1,27,1297390
1968,1,1,28,133037
1968,1,1,29,42302.7
1968,1,1,30,66635.8
1968,1,1,31,848906
1968,1,1,32,61446.3
1968,1,1,33,22416.9
1968,1,1,34,16178.3
1968,1,1,35,503734
1968,1,1,36,21128.3
1968,1,1,37,11723.9
1968,1,1,38,12497.7
1968,1,1,39,565905
1968,1,1,40,1354290
1969,1,1,1,311126
1969,1,1,2,30913400
1969,1,1,3,1415990
1969,1,1,4,498510
1969,1,1,5,1694730
1969,1,1,6,12298500
1969,1,1,7,1784300
1969,1,1,8,401764
1969,1,1,9,1675860
1969,1,1,10,2952960
1969,1,1,11,680521
1969,1,1,12,108841
1969,1,1,13,387758
1969,1,1,14,3352080
1969,1,1,15,1101790
1969,1,1,16,135803
1969,1,1,17,328412
1969,1,1,18,1360910
1969,1,1,19,684173
1969,1,1,20,74831.1
1969,1,1,21,97459.3
1969,1,1,22,1952630
1969,1,1,23,1749130
1969,1,1,24,197464
1969,1,1,25,124576
1969,1,1,26,524173
1969,1,1,27,994778
1969,1,1,28,116580
1969,1,1,29,42949.6
1969,1,1,30,181218
1969,1,1,31,859441
1969,1,1,32,89694.2
1969,1,1,33,27561.8
1969,1,1,34,42812.3
1969,1,1,35,553583
1969,1,1,36,40585
1969,1,1,37,14459.8
1969,1,1,38,10265
1969,1,1,39,324462
1969,1,1,40,1242630
1970,1,1,1,146590
1970,1,1,2,47774800
1970,1,1,3,2316370
1970,1,1,4,926108
1970,1,1,5,2530480
