year,area,age,f
1970,1,8,0.032327677
1970,1,9,0.02728088
1970,1,10,0.022502662
1970,1,11,0.019657973
1970,1,12,0.018256313
1970,1,13,0.017521153
1970,1,14,0.017089701
1970,1,15,0.016814985
1970,1,16,0.016631242
1970,1,17,0.016504687
1970,1,18,0.016415966
1970,1,19,0.01635313
1970,1,20,0.016308409
1970,1,21,0.016276548
1970,1,22,0.016253898
1970,1,23,0.016237872
1970,1,24,0.016226614
1970,1,25,0.016218858
1970,1,26,0.016213414
1970,1,27,0.016209632
1970,1,28,0.016207033
1970,1,29,0.016205274
1970,1,30,0.016204108
1970,1,31,0.016203354
1970,1,32,0.016202887
1970,1,33,0.016202614
1970,1,34,0.016202472
1970,1,35,0.016202416
1970,1,36,0.016202414
1970,1,37,0.016202446
1970,1,38,0.016202446
1970,1,39,0.016202446
1970,1,40,0.016202446
1971,1,1,1.8876426e-05
1971,1,2,0.025775776
1971,1,3,0.036998867
1971,1,4,0.046191756
1971,1,5,0.038590672
1971,1,6,0.034661805
1971,1,7,0.034866653
1971,1,8,0.031152257
1971,1,9,0.024000885
1971,1,10,0.017779168
1971,1,11,0.014217428
1971,1,12,0.012523785
1971,1,13,0.011657387
1971,1,14,0.011151485
1971,1,15,0.010826321
1971,1,16,0.010605698
1971,1,17,0.010451721
1971,1,18,0.010342712
1971,1,19,0.010265032
1971,1,20,0.010209563
1971,1,21,0.010169994
1971,1,22,0.010141855
1971,1,23,0.010121944
1971,1,24,0.010107947
1971,1,25,0.010098293
1971,1,26,0.01009149
1971,1,27,0.010086731
1971,1,28,0.01008343
1971,1,29,0.010081164
1971,1,30,0.010079631
1971,1,31,0.010078611
1971,1,32,0.010077948
1971,1,33,0.01007753
1971,1,34,0.010077282
1971,1,35,0.010077147
1971,1,36,0.010077085
1971,1,37,0.010077072
1971,1,38,0.010077072
1971,1,39,0.010077072
1971,1,40,0.010077072
1972,1,1,1.9627646e-05
1972,1,2,0.033089315
1972,1,3,0.047382647
1972,1,4,0.059040456
1972,1,5,0.049057835
1972,1,6,0.043576127
1972,1,7,0.043315311
1972,1,8,0.038165494
1972,1,9,0.028780549
1972,1,10,0.020668964
1972,1,11,0.015995212
1972,1,12,0.013730498
1972,1,13,0.012539759
1972,1,14,0.011825129
1972,1,15,0.0113556071
1972,1,16,0.0110319869
1972,1,17,0.010803704
1972,1,18,0.0106409662
1972,1,19,0.0105244845
1972,1,20,0.0104410772
1972,1,21,0.0103814678
1972,1,22,0.0103390124
1972,1,23,0.0103089219
1972,1,24,0.0102877279
1972,1,25,0.0102730434
1972,1,26,0.010262687
1972,1,27,0.0102554324
1972,1,28,0.0102503914
1972,1,29,0.0102469196
