year,area,stage,f
1965,all,adult,0.00601498056958144
1966,all,adult,0.00848237770939457
1967,all,adult,0.00589691923838591
1968,all,adult,0.00760901366821573
1969,all,adult,0.00788569307014375
1970,all,adult,0.00978556627611228
1971,all,adult,0.00875614352738229
1972,all,adult,0.00916188576942832
1973,all,adult,0.0119188235108229
1974,all,adult,0.0113601195198488
1975,all,adult,0.0120740566295716
1976,all,adult,0.0149394228475516
1977,all,adult,0.0182397475980985
1978,all,adult,0.0208332016700111
1979,all,adult,0.0252850407335229
1980,all,adult,0.026051872405402
1981,all,adult,0.0249905898515335
1982,all,adult,0.0250008762798021
1983,all,adult,0.0307289685663729
1984,all,adult,0.0289737842568596
1985,all,adult,0.0293796543492997
1986,all,adult,0.0266354955478081
1987,all,adult,0.0332853842750457
1988,all,adult,0.0317696996924319
1989,all,adult,0.0366300471661461
1990,all,adult,0.047362711409149
1991,all,adult,0.0519573393773521
1992,all,adult,0.0673639287311819
1993,all,adult,0.0728932752225893
1994,all,adult,0.0819655738051004
1995,all,adult,0.0777830023877292
1996,all,adult,0.0726263391269871
1997,all,adult,0.088609644751735
1998,all,adult,0.10840415470674
1999,all,adult,0.0836243052696139
2000,all,adult,0.10039617079271
2001,all,adult,0.118660449761319
2002,all,adult,0.111663358299292
2003,all,adult,0.116616504312126
2004,all,adult,0.109137066216963
2005,all,adult,0.113267139191081
2006,all,adult,0.104737962358484
2007,all,adult,0.108852135574068
2008,all,adult,0.129057147335312
2009,all,adult,0.114299756798485
2010,all,adult,0.13455541229709
2011,all,adult,0.131755925580212
2012,all,adult,0.176176829029119
2013,all,adult,0.134882667875658
2014,all,adult,0.180330082391654
2015,all,adult,0.150715600839489
2016,all,adult,0.138523025307343
2017,all,adult,0.150739895361477
2018,all,adult,0.149355741746891
2019,all,adult,0.157089082982318
2020,all,adult,0.127819513702957
2021,all,adult,0.125522546999545
2022,all,adult,0.112141632445133
2023,all,adult,0.151927934423781
2024,all,adult,0.175471229796659
1952,1,juvenile,0.0172694234154241
1953,1,juvenile,0.0337051110989114
1954,1,juvenile,0.0352407112264111
1955,1,juvenile,0.0277657145475143
1956,1,juvenile,0.0229015087284218
1957,1,juvenile,0.0122227114982124
1958,1,juvenile,0.0183879607515989
1959,1,juvenile,0.0251966129232141
1960,1,juvenile,0.016330073252153
1961,1,juvenile,0.030538728970253
1962,1,juvenile,0.0385523247948866
1963,1,juvenile,0.0169001892946463
1964,1,juvenile,0.0285367834376722
1965,1,juvenile,0.0210519561382514
1966,1,juvenile,0.0215623197829632
1967,1,juvenile,0.0250185236062668
1968,1,juvenile,0.0225700584515227
1969,1,juvenile,0.0259967056204406
1970,1,juvenile,0.0256331903978872
1971,1,juvenile,0.0282864254112883
1972,1,juvenile,0.0354327817382796
1973,1,juvenile,0.0343348824118121
1974,1,juvenile,0.0321991199300592
1975,1,juvenile,0.0351543060864119
1976,1,juvenile,0.0421035967027012
1977,1,juvenile,0.0362942280801841
1978,1,juvenile,0.0461156495002204
1979,1,juvenile,0.0508562238335114
1980,1,juvenile,0.0506221937126312
1981,1,juvenile,0.0559987245573406
1982,1,juvenile,0.0465011336342663
1983,1,juvenile,0.0505557920627602
1984,1,juvenile,0.0616108907361304
1985,1,juvenile,0.0618115787552621
1986,1,juvenile,0.0397892628266432
1987,1,juvenile,0.0418037634907028
1988,1,juvenile,0.0431922573988564
1989,1,juvenile,0.0477871643198275
1990,1,juvenile,0.0348339225878265
1991,1,juvenile,0.0309984998141765
1992,1,juvenile,0.0427616690900151
1993,1,juvenile,0.033696702494463
1994,1,juvenile,0.0261569386890283
1995,1,juvenile,0.0372249008030817
1996,1,juvenile,0.0334926705454923
1997,1,juvenile,0.0336743851294686
1998,1,juvenile,0.0378868880464259
1999,1,juvenile,0.0539062684192584
2000,1,juvenile,0.053299081336829
2001,1,juvenile,0.0448938471000085
2002,1,juvenile,0.0526292473201177
2003,1,juvenile,0.0609821280665831
2004,1,juvenile,0.0594066521082668
2005,1,juvenile,0.0733198424658657
2006,1,juvenile,0.0879058830701297
2007,1,juvenile,0.0593540368474897
2008,1,juvenile,0.065993763205983
2009,1,juvenile,0.0777515228179715
2010,1,juvenile,0.0769463466853772
2011,1,juvenile,0.0829549373304631
2012,1,juvenile,0.0689478167060289
2013,1,juvenile,0.0487598210782673
2014,1,juvenile,0.0393585859435872
2015,1,juvenile,0.0451350081769975
2016,1,juvenile,0.0606937130547489
2017,1,juvenile,0.0527680340494315
2018,1,juvenile,0.0557650156712313
2019,1,juvenile,0.0440013603761985
2020,1,juvenile,0.0338479085337433
2021,1,juvenile,0.0377999413009545
2022,1,juvenile,0.0332621554717325
2023,1,juvenile,0.0541679116314374
2024,1,juvenile,0.0556414989207785
1952,2,juvenile,0.000372675568434731
1953,2,juvenile,0.000258845667259594
1954,2,juvenile,0.000255830498607162
1955,2,juvenile,0.000190634616274029
1956,2,juvenile,0.000253711994364939
1957,2,juvenile,0.000148205345197864
1958,2,juvenile,0.000345957936780732
1959,2,juvenile,0.00047877051792483
1960,2,juvenile,0.000436854017556093
1961,2,juvenile,0.000700165346872187
1962,2,juvenile,0.00089809291058239
1963,2,juvenile,0.000705459435058021
1964,2,juvenile,0.000554736515495994
1965,2,juvenile,0.000854783373479869
1966,2,juvenile,0.000940944179037813
