year,season,area,sb
1955,4,3,1250600
1956,4,3,1260000
1957,4,3,1250000
1958,4,3,1164800
1959,4,3,1143500
1960,4,3,1121700
1961,4,3,1025200
1962,4,3,919810
1963,4,3,859150
1964,4,3,818480
1965,4,3,814310
1966,4,3,773150
1967,4,3,698030
1968,4,3,632680
1969,4,3,611330
1970,4,3,620030
1971,4,3,633250
1972,4,3,607120
1973,4,3,565290
1974,4,3,559370
1975,4,3,543300
1976,4,3,523530
1977,4,3,539730
1978,4,3,588810
1979,4,3,604640
1980,4,3,574730
1981,4,3,539990
1982,4,3,523480
1983,4,3,516670
1984,4,3,506460
1985,4,3,485090
1986,4,3,501650
1987,4,3,519340
1988,4,3,507100
1989,4,3,459550
1990,4,3,429090
1991,4,3,379870
1992,4,3,351840
1993,4,3,318540
1994,4,3,294110
1995,4,3,273710
1996,4,3,273000
1997,4,3,274930
1998,4,3,249050
1999,4,3,229830
2000,4,3,209770
2001,4,3,213930
2002,4,3,202660
2003,4,3,179860
2004,4,3,187440
2005,4,3,187650
2006,4,3,180580
2007,4,3,175040
2008,4,3,179160
2009,4,3,182560
2010,4,3,175210
2011,4,3,157480
2012,4,3,142420
2013,4,3,142670
2014,4,3,164150
2015,4,3,191390
2016,4,3,202080
2017,4,3,178320
2018,4,3,180320
2019,4,3,198300
2020,4,3,201170
2021,4,3,227920
2022,4,3,233370
2023,4,3,236770
2024,4,3,214410
1952,1,4,5008700
1953,1,4,5217200
1954,1,4,5123100
1955,1,4,4978900
1956,1,4,4681700
1957,1,4,4870900
1958,1,4,4827100
1959,1,4,4735300
1960,1,4,4997500
1961,1,4,4821900
1962,1,4,4204500
1963,1,4,3709000
1964,1,4,3442500
1965,1,4,3332400
1966,1,4,3476500
1967,1,4,3226100
1968,1,4,2931800
1969,1,4,2664500
1970,1,4,2686800
1971,1,4,2748200
1972,1,4,2793800
1973,1,4,2564100
1974,1,4,2419100
1975,1,4,2466000
1976,1,4,2356000
1977,1,4,2316300
1978,1,4,2482700
1979,1,4,2697400
1980,1,4,2576600
1981,1,4,2365000
1982,1,4,2200100
1983,1,4,2151300
1984,1,4,2139200
1985,1,4,2098900
1986,1,4,2029200
1987,1,4,2166200
1988,1,4,2102200
1989,1,4,1974900
1990,1,4,1833700
1991,1,4,1603500
1992,1,4,1431300
1993,1,4,1158900
1994,1,4,959610
1995,1,4,861980
1996,1,4,910760
1997,1,4,993310
1998,1,4,942740
1999,1,4,823430
2000,1,4,775720
2001,1,4,759340
2002,1,4,776900
2003,1,4,774090
2004,1,4,794060
2005,1,4,787800
2006,1,4,759580
2007,1,4,749100
2008,1,4,780840
2009,1,4,810210
2010,1,4,856190
2011,1,4,819020
2012,1,4,765480
2013,1,4,718980
2014,1,4,796100
2015,1,4,839370
2016,1,4,888730
2017,1,4,889290
2018,1,4,835670
2019,1,4,813220
2020,1,4,848680
2021,1,4,899830
2022,1,4,859790
2023,1,4,946090
2024,1,4,894640
1952,2,4,4970800
1953,2,4,4873300
1954,2,4,4797900
1955,2,4,4587900
1956,2,4,4423000
1957,2,4,4595400
1958,2,4,4496800
1959,2,4,4501100
1960,2,4,4701300
1961,2,4,4401400
1962,2,4,3813000
1963,2,4,3406900
1964,2,4,3185800
1965,2,4,3148300
1966,2,4,3239900
1967,2,4,2947200
1968,2,4,2678700
1969,2,4,2475200
1970,2,4,2532600
1971,2,4,2591800
1972,2,4,2583100
1973,2,4,2350200
1974,2,4,2272800
1975,2,4,2297900
1976,2,4,2184600
1977,2,4,2195900
1978,2,4,2392900
1979,2,4,2528500
1980,2,4,2370300
1981,2,4,2180700
1982,2,4,2047500
1983,2,4,2017900
1984,2,4,2007400
1985,2,4,1941600
1986,2,4,1934500
1987,2,4,2034900
1988,2,4,1940000
1989,2,4,1826000
1990,2,4,1668700
1991,2,4,1469000
1992,2,4,1289000
1993,2,4,1032900
1994,2,4,880610
1995,2,4,803900
1996,2,4,871980
1997,2,4,941050
1998,2,4,855080
1999,2,4,767300
2000,2,4,718040
2001,2,4,720110
2002,2,4,735570
2003,2,4,725500
2004,2,4,746870
2005,2,4,745880
2006,2,4,710940
2007,2,4,707500
2008,2,4,752320
2009,2,4,783100
2010,2,4,808660
2011,2,4,762130
2012,2,4,694640
2013,2,4,691220
2014,2,4,765930
2015,2,4,807620
2016,2,4,843090
2017,2,4,837470
2018,2,4,779620
2019,2,4,752500
2020,2,4,825980
2021,2,4,841130
2022,2,4,818360
2023,2,4,905820
2024,2,4,840870
1952,3,4,4711600
1953,3,4,4581900
1954,3,4,4518100
1955,3,4,4259500
1956,3,4,4238200
1957,3,4,4349300
1958,3,4,4213300
1959,3,4,4301800
1960,3,4,4389200
1961,3,4,4009000
1962,3,4,3489000
1963,3,4,3159000
1964,3,4,2973800
1965,3,4,2996200
1966,3,4,2987200
1967,3,4,2708100
1968,3,4,2456900
1969,3,4,2329900
1970,3,4,2394400
1971,3,4,2455200
1972,3,4,2385800
1973,3,4,2181800
1974,3,4,2157100
1975,3,4,2143800
1976,3,4,2045700
1977,3,4,2103100
1978,3,4,2315300
1979,3,4,2377000
1980,3,4,2215200
1981,3,4,2045700
1982,3,4,1948300
1983,3,4,1928500
1984,3,4,1916300
1985,3,4,1824400
1986,3,4,1869300
1987,3,4,1913600
1988,3,4,1811600
1989,3,4,1706000
1990,3,4,1533200
1991,3,4,1366000
1992,3,4,1161500
1993,3,4,942820
1994,3,4,818760
1995,3,4,784990
1996,3,4,855770
1997,3,4,891840
1998,3,4,791010
1999,3,4,718190
2000,3,4,676990
2001,3,4,671420
2002,3,4,690070
2003,3,4,687200
2004,3,4,700570
2005,3,4,701210
2006,3,4,664660
2007,3,4,663830
2008,3,4,725270
2009,3,4,744340
2010,3,4,748860
2011,3,4,709010
2012,3,4,637270
2013,3,4,668080
2014,3,4,722520
2015,3,4,769730
2016,3,4,801380
2017,3,4,782480
2018,3,4,728760
2019,3,4,717610
2020,3,4,796180
2021,3,4,793980
2022,3,4,813100
2023,3,4,857360
2024,3,4,809470
1952,4,4,5693500
1953,4,4,5581300
1954,4,4,5472400
1955,4,4,5096800
1956,4,4,5237400
1957,4,4,5283100
1958,4,4,5137400
1959,4,4,5415300
1960,4,4,5374400
1961,4,4,4750600
1962,4,4,4145600
1963,4,4,3812100
1964,4,4,3637800
1965,4,4,3783700
1966,4,4,3618600
1967,4,4,3276600
1968,4,4,2955300
1969,4,4,2909800
1970,4,4,2986300
1971,4,4,3061300
1972,4,4,2867700
1973,4,4,2650400
1974,4,4,2689900
1975,4,4,2610000
1976,4,4,2518000
1977,4,4,2646300
1978,4,4,2907100
1979,4,4,2841600
1980,4,4,2599300
1981,4,4,2397200
1982,4,4,2317600
1983,4,4,2308100
1984,4,4,2289900
1985,4,4,2184400
1986,4,4,2328800
1987,4,4,2320000
1988,4,4,2179700
1989,4,4,2040500
1990,4,4,1790000
1991,4,4,1605800
1992,4,4,1316000
1993,4,4,1073300
1994,4,4,956760
1995,4,4,978060
1996,4,4,1066100
1997,4,4,1062200
1998,4,4,934280
1999,4,4,874020
2000,4,4,836290
2001,4,4,843840
2002,4,4,848720
2003,4,4,869200
2004,4,4,864890
2005,4,4,852200
2006,4,4,825990
2007,4,4,846970
2008,4,4,892800
2009,4,4,932040
2010,4,4,905020
2011,4,4,856750
2012,4,4,779180
2013,4,4,851110
2014,4,4,902600
2015,4,4,951740
2016,4,4,962920
2017,4,4,916310
2018,4,4,882930
2019,4,4,890910
2020,4,4,979520
2021,4,4,924170
2022,4,4,985580
2023,4,4,955940
2024,4,4,943830
1952,1,5,1968300
1953,1,5,1695500
1954,1,5,1841400
1955,1,5,1863600
1956,1,5,1755600
1957,1,5,1792800
1958,1,5,1724900
1959,1,5,1584700
1960,1,5,1545600
1961,1,5,1491000
1962,1,5,1362100
1963,1,5,1244600
1964,1,5,1172000
1965,1,5,1124100
1966,1,5,1105300
1967,1,5,1024400
1968,1,5,923850
1969,1,5,844960
1970,1,5,824050
1971,1,5,836950
1972,1,5,848400
1973,1,5,807150
1974,1,5,759850
1975,1,5,749760
1976,1,5,723470
1977,1,5,704180
1978,1,5,735550
1979,1,5,801250
1980,1,5,810900
1981,1,5,778980
1982,1,5,738330
1983,1,5,725970
1984,1,5,721670
1985,1,5,709290
1986,1,5,682430
1987,1,5,711210
1988,1,5,723040
1989,1,5,707190
1990,1,5,675920
1991,1,5,630070
1992,1,5,584220
1993,1,5,526510
1994,1,5,478470
1995,1,5,445840
1996,1,5,433120
1997,1,5,426800
1998,1,5,415750
1999,1,5,380460
2000,1,5,345530
2001,1,5,325470
2002,1,5,322820
2003,1,5,311460
2004,1,5,294640
2005,1,5,290860
2006,1,5,296950
2007,1,5,288150
2008,1,5,287030
2009,1,5,297150
2010,1,5,301280
2011,1,5,289140
2012,1,5,263360
2013,1,5,249450
2014,1,5,252660
2015,1,5,270280
2016,1,5,294490
2017,1,5,312940
2018,1,5,296850
2019,1,5,292520
2020,1,5,316460
2021,1,5,337770
2022,1,5,362590
2023,1,5,399740
2024,1,5,400850
1952,2,5,1946900
1953,2,5,2335100
1954,2,5,2448500
1955,2,5,2402900
1956,2,5,2295600
1957,2,5,2353300
1958,2,5,2235000
1959,2,5,2102200
1960,2,5,2093300
1961,2,5,1983400
1962,2,5,1782900
1963,2,5,1633700
1964,2,5,1541500
1965,2,5,1498300
1966,2,5,1478000
1967,2,5,1348800
1968,2,5,1217600
1969,2,5,1126600
1970,2,5,1124400
1971,2,5,1148200
1972,2,5,1147000
1973,2,5,1071500
1974,2,5,1024300
1975,2,5,1016300
1976,2,5,972780
1977,2,5,964040
1978,2,5,1029900
1979,2,5,1106400
1980,2,5,1085500
1981,2,5,1027200
1982,2,5,975310
1983,2,5,965590
1984,2,5,960110
1985,2,5,933280
1986,2,5,915320
1987,2,5,962040
1988,2,5,955080
1989,2,5,927700
1990,2,5,868130
1991,2,5,805760
1992,2,5,732570
1993,2,5,649950
1994,2,5,585610
1995,2,5,552190
1996,2,5,546440
1997,2,5,545620
1998,2,5,522760
1999,2,5,469920
2000,2,5,433870
2001,2,5,416470
2002,2,5,412310
2003,2,5,402930
2004,2,5,384460
2005,2,5,386550
2006,2,5,384480
2007,2,5,375660
2008,2,5,382390
2009,2,5,394770
2010,2,5,399230
2011,2,5,370810
2012,2,5,344470
2013,2,5,330340
2014,2,5,345450
2015,2,5,372750
2016,2,5,404220
2017,2,5,412290
2018,2,5,388010
2019,2,5,389770
2020,2,5,427940
2021,2,5,440830
2022,2,5,475480
2023,2,5,516470
2024,2,5,498320
1952,3,5,2020000
1953,3,5,2401300
1954,3,5,2506900
1955,3,5,2406900
1956,3,5,2358800
1957,3,5,2383300
1958,3,5,2227100
1959,3,5,2120000
1960,3,5,2096300
1961,3,5,1953800
1962,3,5,1759000
1963,3,5,1630400
1964,3,5,1544500
1965,3,5,1515400
1966,3,5,1464200
1967,3,5,1326900
1968,3,5,1197500
1969,3,5,1128800
1970,3,5,1135000
1971,3,5,1161500
1972,3,5,1140000
1973,3,5,1062800
1974,3,5,1030800
1975,3,5,1014400
1976,3,5,972770
1977,3,5,980820
1978,3,5,1061500
1979,3,5,1118500
1980,3,5,1086900
1981,3,5,1027400
1982,3,5,985400
1983,3,5,980410
1984,3,5,973820
1985,3,5,935970
1986,3,5,941170
