year,season,fishery,area,catch
1956,1,7,4,3126.03
1957,1,7,4,5010.31
1958,1,7,4,3130.98
1959,1,7,4,4382.53
1960,1,7,4,8074.8
1961,1,7,4,5345.35
1962,1,7,4,3659.02
1963,1,7,4,3741.83
1964,1,7,4,5475.76
1965,1,7,4,3283.39
1966,1,7,4,5415.38
1967,1,7,4,2705.31
1968,1,7,4,3453.84
1969,1,7,4,2286.55
1970,1,7,4,4326.97
1971,1,7,4,5080.22
1972,1,7,4,7638.66
1973,1,7,4,2255.89
1974,1,7,4,3172.93
1975,1,7,4,5837.21
1976,1,7,4,3481.49
1977,1,7,4,5847.96
1978,1,7,4,8776.67
1979,1,7,4,10504.3
1980,1,7,4,6896.11
1981,1,7,4,5095.18
1982,1,7,4,6211.35
1983,1,7,4,4557.28
1984,1,7,4,6462.01
1985,1,7,4,4814.44
1986,1,7,4,2902.64
1987,1,7,4,2745.98
1988,1,7,4,4521.93
1989,1,7,4,4227.67
1990,1,7,4,3977.2
1991,1,7,4,2335.65
1992,1,7,4,2341.26
1993,1,7,4,2227.14
1994,1,7,4,2358.99
1995,1,7,4,3456.61
1996,1,7,4,1480.05
1997,1,7,4,1437.91
1998,1,7,4,1519.58
1999,1,7,4,1021.36
2000,1,7,4,2573.2
2001,1,7,4,1249.68
2002,1,7,4,1388.92
2003,1,7,4,1400.1
2004,1,7,4,1216.09
2005,1,7,4,1097.82
2006,1,7,4,1769.58
2007,1,7,4,2144.25
2008,1,7,4,940.194
2009,1,7,4,1255.29
2010,1,7,4,1510.03
2011,1,7,4,1577.99
2012,1,7,4,668.197
2013,1,7,4,537.736
2014,1,7,4,886.303
2015,1,7,4,1517.13
2016,1,7,4,848.79
2017,1,7,4,875.42
2018,1,7,4,1152.86
2019,1,7,4,1346.8
2020,1,7,4,1084.2
2021,1,7,4,784.012
2022,1,7,4,946.799
2023,1,7,4,658.46
2024,1,7,4,1270.59
1952,1,8,4,245.314
1953,1,8,4,982.494
1954,1,8,4,270.346
1955,1,8,4,400.095
1956,1,8,4,1084.65
1957,1,8,4,1896.15
1958,1,8,4,1767.7
1959,1,8,4,4573.61
1960,1,8,4,2883.98
1961,1,8,4,3457.24
1962,1,8,4,2748.56
1963,1,8,4,3141.57
1964,1,8,4,3436.13
1965,1,8,4,4708.12
1966,1,8,4,2818.44
1967,1,8,4,3029.51
1968,1,8,4,2464.99
1969,1,8,4,4884.85
1970,1,8,4,6235.04
1971,1,8,4,3070.44
1972,1,8,4,5169.46
1973,1,8,4,2491.33
1974,1,8,4,2252.89
1975,1,8,4,2579.37
1976,1,8,4,3316.7
1977,1,8,4,5354.79
1978,1,8,4,4951.38
1979,1,8,4,5750.08
1980,1,8,4,10556.6
1981,1,8,4,2046.62
1982,1,8,4,4667.53
1983,1,8,4,5388.62
1984,1,8,4,6127.59
1985,1,8,4,4947.38
1986,1,8,4,4233.5
1987,1,8,4,6378.89
1988,1,8,4,8494.91
1989,1,8,4,3694.16
1990,1,8,4,4086.58
1991,1,8,4,3442.96
1992,1,8,4,4280.02
1993,1,8,4,4295.17
1994,1,8,4,3282.42
1995,1,8,4,6166.14
1996,1,8,4,3675.49
1997,1,8,4,8317.35
1998,1,8,4,3372.39
1999,1,8,4,2657.01
2000,1,8,4,4938.67
2001,1,8,4,3271.71
2002,1,8,4,3206.41
2003,1,8,4,6794.16
2004,1,8,4,3086.54
2005,1,8,4,4705.16
2006,1,8,4,5990.27
2007,1,8,4,1567.81
2008,1,8,4,2378.4
2009,1,8,4,1880.52
2010,1,8,4,2533.46
2011,1,8,4,4774.64
2012,1,8,4,2520.52
2013,1,8,4,2794.86
2014,1,8,4,4079.32
2015,1,8,4,5001.71
2016,1,8,4,5470
2017,1,8,4,3937.41
2018,1,8,4,3722.12
2019,1,8,4,5756.31
2020,1,8,4,3925.72
2021,1,8,4,6155.05
2022,1,8,4,4507.44
2023,1,8,4,4509.93
2024,1,8,4,13004.8
1952,1,9,4,0
1953,1,9,4,0
1954,1,9,4,0
1955,1,9,4,0
1956,1,9,4,0
1957,1,9,4,0
1958,1,9,4,0
1959,1,9,4,0
1960,1,9,4,0
1961,1,9,4,0
1962,1,9,4,0
1963,1,9,4,0
1964,1,9,4,0
1965,1,9,4,0
1966,1,9,4,0
1967,1,9,4,0
1968,1,9,4,0
1969,1,9,4,0
1970,1,9,4,0
1971,1,9,4,0
1972,1,9,4,0
1973,1,9,4,0
1974,1,9,4,0
1975,1,9,4,0
1976,1,9,4,0
1977,1,9,4,0
1978,1,9,4,0
1979,1,9,4,0
1980,1,9,4,0
1981,1,9,4,0
1982,1,9,4,0
1983,1,9,4,0
1984,1,9,4,0
1985,1,9,4,0
1986,1,9,4,0
1987,1,9,4,0
1988,1,9,4,2.22091
1989,1,9,4,4.00214
1990,1,9,4,247.689
1991,1,9,4,65.4042
1992,1,9,4,119.519
1993,1,9,4,264.379
1994,1,9,4,819.992
1995,1,9,4,2059.31
1996,1,9,4,1981.92
1997,1,9,4,784.8
1998,1,9,4,1565.71
1999,1,9,4,988.56
2000,1,9,4,1091.22
2001,1,9,4,1735.64
2002,1,9,4,448.073
2003,1,9,4,888.327
2004,1,9,4,461.991
2005,1,9,4,252.688
2006,1,9,4,647.229
2007,1,9,4,831.022
2008,1,9,4,588.264
2009,1,9,4,1547.7
2010,1,9,4,770.498
2011,1,9,4,1648.32
2012,1,9,4,1200.38
2013,1,9,4,2952.49
